latitude,longitude
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498603333
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234201667,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234203333,-76.498595
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.498588333
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234206667,-76.49854
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.234201667,-76.498443333
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.23421,-76.498336667
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234183333,-76.498175
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.498026667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.234178333,-76.497896667
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.23418,-76.497785
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497678333
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234183333,-76.497586667
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234188333,-76.497515
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234185,-76.497473333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234176667,-76.497448333
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234171667,-76.497431667
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234161667,-76.497405
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234145,-76.497373333
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234111667,-76.497341667
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234066667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.234006667,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233943333,-76.497333333
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233878333,-76.497335
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233813333,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.233745,-76.497336667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.23368,-76.497331667
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233613333,-76.49733
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233551667,-76.497326667
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233486667,-76.497323333
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233423333,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233365,-76.497326667
44.233311667,-76.497326667
