latitude,longitude
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233996667,-76.505021667
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233995,-76.505028333
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233993333,-76.505035
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233991667,-76.50506
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505085
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.233983333,-76.505108333
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.23398,-76.505116667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233981667,-76.505136667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.233995,-76.505161667
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234021667,-76.505193333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234051667,-76.505213333
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234083333,-76.505225
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234118333,-76.505238333
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234155,-76.50525
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234196667,-76.505258333
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234236667,-76.505265
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234273333,-76.505275
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234316667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234356667,-76.505278333
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.234398333,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23444,-76.50528
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
44.23448,-76.505281667
